Cohort,Feature Index,Feature Name,Tier,Normalized Importance
Asian,27,ACS_PCT_HH_INTERNET,Meso,0.025757149
Asian,28,ACS_PCT_HH_INTERNET_NO_SUBS,Meso,0.01072812
Asian,29,ACS_PCT_HH_NO_COMP_DEV,Meso,0.013333114
Asian,30,ACS_PCT_HH_NO_INTERNET,Meso,0.01811698
Asian,31,ACS_PCT_HH_OTHER_COMP,Meso,0.028528875
Asian,32,ACS_PCT_HH_PC,Meso,0.018942453
Asian,33,ACS_PCT_HH_PC_ONLY,Meso,0.013680566
Asian,34,ACS_PCT_HH_SAT_INTERNET,Meso,0.020539172
Asian,35,ACS_PCT_HH_SMARTPHONE,Meso,0.022242447
Asian,36,ACS_PCT_HH_SMARTPHONE_ONLY,Meso,0.036412217
Asian,37,ACS_PCT_HH_TABLET,Meso,0.021682758
Asian,38,ACS_PCT_HH_TABLET_ONLY,Meso,0.009746423
Asian,39,ACS_PCT_CHILDREN_GRANDPARENT,Meso,0.01650109
Asian,40,ACS_PCT_CHILD_1FAM,Meso,0.029178998
Asian,41,ACS_PCT_GRANDP_NO_RESPS,Meso,0.014712417
Asian,42,ACS_PCT_GRANDP_RESPS_NO_P,Meso,0.020369343
Asian,43,ACS_PCT_GRANDP_RESPS_P,Meso,0.01824416
Asian,44,ACS_PCT_HH_1PERS,Meso,0.029426673
Asian,45,ACS_PCT_HH_ABOVE65,Meso,0.037473403
Asian,46,ACS_PCT_HH_ALONE_ABOVE65,Meso,0.013910135
Asian,47,ACS_TOT_GRANDCHILDREN_GP,Meso,0.0393177
Asian,48,ACS_PCT_HEALTH_INC_138_199,Meso,0.020521551
Asian,49,ACS_PCT_HEALTH_INC_200_399,Meso,0.014010493
Asian,50,ACS_PCT_HEALTH_INC_ABOVE400,Meso,0.035641596
Asian,51,ACS_PCT_HEALTH_INC_BELOW137,Meso,0.017172078
Asian,52,ACS_PCT_HH_1FAM_FOOD_STMP,Meso,0.013200514
Asian,53,ACS_PCT_HH_FOOD_STMP_BLW_POV,Meso,0.01471169
Asian,54,ACS_PCT_HH_NO_FD_STMP_BLW_POV,Meso,0.008536417
Asian,55,ACS_PCT_HH_PUB_ASSIST,Meso,0.026793066
Asian,56,ACS_PCT_INC50,Meso,0.028167529
Asian,57,ACS_PCT_INC50_ABOVE65,Meso,0.011768152
Asian,58,ACS_PCT_NONVET_POV_18_64,Meso,0.005642065
Asian,59,ACS_PCT_PERSON_INC_100_124,Meso,0.015771523
Asian,60,ACS_PCT_PERSON_INC_125_199,Meso,0.045869764
Asian,61,ACS_PCT_PERSON_INC_ABOVE200,Meso,0.02404211
Asian,62,ACS_PCT_PERSON_INC_BELOW99,Meso,0.015378564
Asian,63,ACS_PCT_POV_AIAN,Meso,0.018995464
Asian,64,ACS_PCT_POV_ASIAN,Meso,0.017171886
Asian,65,ACS_PCT_POV_BLACK,Meso,0.02397138
Asian,66,ACS_PCT_POV_HISPANIC,Meso,0.015999446
Asian,67,ACS_PCT_POV_MULTI,Meso,0.0130870845
Asian,68,ACS_PCT_POV_NHPI,Meso,0.0096789375
Asian,69,ACS_PCT_POV_OTHER,Meso,0.006763332
Asian,70,ACS_PCT_POV_WHITE,Meso,0.03177731
Asian,71,ACS_PCT_VET_POV_18_64,Meso,0.019579165
Asian,72,ACS_TOT_POP_POV,Meso,0.019133098
Asian,73,Primary_Diagnosis_ICD_10_C_M_Code_ICD_Group_E11_621,Micro,0.047166914
Asian,74,Primary_Diagnosis_ICD_10_C_M_Code_ICD_Group_I50_22,Micro,0.023499463
Asian,75,Primary_Diagnosis_ICD_10_C_M_Code_ICD_Group_I69_351,Micro,0.04142633
Asian,76,Primary_Diagnosis_ICD_10_C_M_Code_ICD_Group_L03_115,Micro,0.033539504
Asian,77,Primary_Diagnosis_ICD_10_C_M_Code_ICD_Group_M25_561,Micro,0.0437379
Asian,78,Primary_Diagnosis_ICD_10_C_M_Code_ICD_Group_S72_001D,Micro,0.017055841
Asian,79,Primary_Diagnosis_ICD_10_C_M_Code_ICD_Group_T81_4XXD,Micro,0.030710604
Asian,80,Primary_Diagnosis_ICD_10_C_M_Code_ICD_Group_Z47_1,Micro,0.021771884
Asian,81,Primary_Diagnosis_ICD_10_C_M_Code_ICD_Group_Z48_812,Micro,0.021572815
Asian,82,Other_Diagnosis_Code_1_ICD_10_C_M_ICD_Group_I10,Micro,0.037235025
Asian,83,Other_Diagnosis_Code_1_ICD_10_C_M_ICD_Group_I69_351,Micro,0.023459619
Asian,84,Other_Diagnosis_Code_1_ICD_10_C_M_ICD_Group_L03_116,Micro,0.026153788
Asian,85,Other_Diagnosis_Code_1_ICD_10_C_M_ICD_Group_S22_42XD,Micro,0.020099932
Asian,86,Other_Diagnosis_Code_1_ICD_10_C_M_ICD_Group_Z96_651,Micro,0.034872137
Asian,87,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_B96_20,Micro,0.036731638
Asian,88,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_E11_22,Micro,0.027972428
Asian,89,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_F03_90,Micro,0.046356693
Asian,90,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_I10,Micro,0.03345996
Asian,91,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_I25_10,Micro,0.065750875
Asian,92,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_I48_91,Micro,0.017574187
Asian,93,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_I50_32,Micro,0.01685169
Asian,94,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_I50_9,Micro,0.028213713
Asian,95,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_I69_354,Micro,0.0463474
Asian,96,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_M19_90,Micro,0.029388234
Asian,97,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_M25_561,Micro,0.056005564
Asian,98,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_M48_06,Micro,0.017391577
Asian,99,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_M62_81,Micro,0.02513041
Asian,100,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_R26_89,Micro,0.050899178
Asian,101,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_Z79_82,Micro,0.03510132
Asian,102,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_E11_22,Micro,0.020653715
Asian,103,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_I10,Micro,0.026891053
